05.png, 0.012, 0.011, 0, 0, 0.091, 0.182, 0.1, 0.8, 0.1, 0.02, 0.96, 0.1, 0.8, 0.02, 0.96
06.png, 0.042, 0.0228, 0.001, 0.001, 0.0571, 0.0571, 0.176, 0.528, 0.296, 0.2675, 0.465, 0.2, 0.8, 0.2, 0.6
09.png, 0.28, 0.18, 0.001, 0.014, 0.097, 0.194, 0.106, 0.708, 0.186, 0.1575, 0.685, 0.106, 0.894, 0.079, 0.842
10.png, 0.199, 0.04, 0.001, 0.014, 0.04, 0.24, 0.106, 0.708, 0.186, 0.1575, 0.685, 0.1, 0.8, 0.11, 0.78
11.png, 0.151, 0.17, 0.001, 0.001, 0.071, 0.071, 0.116, 0.708, 0.176, 0.1225, 0.755, 0.25, 0.75, 0.1225, 0.755
15.png, 0.605, 0.393, 0.001, 0.038, 0.46, 0.46, 0.156, 0.588, 0.256, 0.1125, 0.775, 0.412, 0.588, 0.1125, 0.775
19.png, 0.255, 0.1843, 0.0067, 0.08, 0.168, 0.168, 0.056, 0.888, 0.056, 0.0875, 0.825, 0.056, 0.944, 0.0875, 0.825
22.png, 0.215, 0.159, 0.001, 0.041, 0.23, 0.46, 0.316, 0.418, 0.266, 0.015, 0.97, 0.3, 0.7, 0.1, 0.8
24.png, 0.335, 0.2305, 0.001, 0.002, 0.091, 0.091, 0.226, 0.418, 0.356, 0.0175, 0.965, 0.225, 0.775, 0.0175, 0.965
28.png, 0.765, 0.235, 0.001, 0.048, 0.129, 0.129, 0.396, 0.508, 0.096, 0.3595, 0.281, 0.1, 0.9, 0.2795, 0.441
29.png, 0.208, 0.158, 0.001, 0.001, 0.0393, 0.0393, 0.156, 0.508, 0.336, 0.2795, 0.441, 0.25, 0.75, 0.2795, 0.441
30.png, 0.068, 0.0664, 0.001, 0.02, 0.048, 0.192, 0.306, 0.378, 0.316, 0.05, 0.9, 0.05, 0.95, 0.1, 0.8
35.png, 0.149, 0.106, 0.001, 0.01, 0.141, 0.141, 0.186, 0.698, 0.116, 0.0295, 0.941, 0.16, 0.84, 0.0295, 0.941
37.png, 0.228, 0.144, 0.051, 0.028, 0.063, 0.252, 0.345, 0.339, 0.316, 0.0495, 0.901, 0.22, 0.78, 0.075, 0.85
39.png, 0.5, 0.5, 0, 0.005, 0.047, 0.188, 0.265, 0.499, 0.236, 0.0735, 0.853, 0.25, 0.75, 0.15, 0.7
40.png, 0.051, 0.031, 0.015, 0.021, 0.0368, 0.22, 0.025, 0.879, 0.096, 0.2385, 0.523, 0.4, 0.6, 0.075, 0.85
44.png, 0.268, 0.1725, 0.041, 0.015, 0.138, 0.138, 0.199, 0.629, 0.172, 0.1285, 0.743, 0.13, 0.87, 0.1285, 0.743
50.png, 0.298, 0.165, 0.041, 0.016, 0.161, 0.161, 0.089, 0.669, 0.242, 0.1285, 0.743, 0.1, 0.9, 0.1, 0.8
